date,open,high,low,close,volume,oscillator,phase,amplitude,phase_quadrant,signal,position,signal_strength,confidence
2022-04-25,423.67,428.69,418.84,408.9208,119647700,-1.4377474999999436,1.6073185623053272,39.375113778641484,Quadrante 4 (Discesa -> Minimo),HOLD,0,47.26350358232822,MEDIUM
2022-04-26,425.83,426.04,416.07,397.0781,103996300,-3.2533324999999422,1.6666835353015819,33.98079146221672,Quadrante 4 (Discesa -> Minimo),HOLD,0,40.74011164452001,MEDIUM
2022-04-27,417.24,422.92,415.01,398.1946,122030000,-4.9877875000000245,1.7168886373831955,34.263091048634564,Quadrante 4 (Discesa -> Minimo),HOLD,0,41.08149852095443,MEDIUM
2022-04-28,422.29,429.64,417.6,408.2528,105449100,-6.258802500000002,1.7624443694899452,32.858569564377724,Quadrante 4 (Discesa -> Minimo),HOLD,0,39.38300080624019,MEDIUM
2022-04-29,423.59,425.87,411.21,393.1655,145491100,-8.186442499999998,1.8168965155950343,33.60284248812448,Quadrante 4 (Discesa -> Minimo),HOLD,0,78.61990267364799,HIGH
2022-05-02,412.07,415.92,405.02,395.5321,158312500,-10.037959999999998,1.8778383971844683,33.21184389834542,Quadrante 4 (Discesa -> Minimo),HOLD,0,77.66829408111141,HIGH
2022-05-03,415.01,418.93,413.36,397.3453,100028200,-12.731164999999976,1.956765154439194,33.818389494878055,Quadrante 4 (Discesa -> Minimo),HOLD,0,78.81295854949816,HIGH
2022-05-04,417.08,429.66,413.71,409.4456,144247900,-14.560989999999947,2.0296955621174972,32.87190908391486,Quadrante 4 (Discesa -> Minimo),HOLD,0,76.30077825046833,HIGH
2022-05-05,424.55,425.0,409.44,394.8928,172929100,-16.582252499999925,2.0984135815192544,32.935533312149346,Quadrante 4 (Discesa -> Minimo),HOLD,0,76.30497505586318,HIGH
2022-05-06,411.1,414.8,405.73,392.5357,151770800,-17.679149999999993,2.154579516051256,32.07483133705702,Quadrante 4 (Discesa -> Minimo),HOLD,0,74.36118406989576,HIGH
2022-05-09,405.1,406.41,396.5,379.9678,155586100,-20.08301750000004,2.226262118677175,32.94844311717344,Quadrante 4 (Discesa -> Minimo),HOLD,0,76.52363009684261,HIGH
2022-05-10,404.49,406.08,394.82,380.8457,132497200,-21.309787500000027,2.3106793113385247,31.607446238402254,Quadrante 4 (Discesa -> Minimo),HOLD,0,73.28514782318008,HIGH
2022-05-11,398.07,404.04,391.96,374.7955,142361000,-22.883880000000033,2.354806170601407,32.40771694141133,Quadrante 4 (Discesa -> Minimo),HOLD,0,75.23066231546905,HIGH
2022-05-12,389.37,395.8,385.15,374.4043,125090800,-25.268379999999922,2.4819539426379316,31.976641565460714,Quadrante 4 (Discesa -> Minimo),HOLD,0,73.78996899244112,HIGH
2022-05-13,396.71,403.18,395.61,383.3555,104174400,-25.343192500000043,2.5463801054355097,30.606635685113204,Quadrante 4 (Discesa -> Minimo),HOLD,0,70.50501615345796,HIGH
2022-05-16,399.98,403.97,397.6,381.8,78622400,-25.65643,2.6201567510220527,29.588614422642138,Quadrante 4 (Discesa -> Minimo),HOLD,0,68.1404674774984,MEDIUM
2022-05-17,406.53,408.57,402.58,389.6538,83029700,-25.565054999999973,2.6415610218762677,29.131728349153565,Quadrante 4 (Discesa -> Minimo),HOLD,0,67.35334939760847,MEDIUM
2022-05-18,403.5,403.8,390.55,373.9462,117674500,-27.737722500000018,2.7257013770607057,30.322516829582675,Quadrante 4 (Discesa -> Minimo),HOLD,0,70.62704549283586,HIGH
2022-05-19,388.62,394.14,387.11,371.6559,98510700,-28.76501499999995,2.833405657321986,30.18728669175408,Quadrante 4 (Discesa -> Minimo),HOLD,0,69.94942656944153,MEDIUM
2022-05-20,393.25,397.03,380.54,371.8182,131432200,-29.38481999999999,2.9567973004538453,29.893795525396563,Quadrante 4 (Discesa -> Minimo),HOLD,0,68.61692561268858,MEDIUM
2022-05-23,392.83,397.73,390.38,378.7749,76414900,-28.173597500000028,3.07358762385269,28.23887026541816,Quadrante 4 (Discesa -> Minimo),HOLD,0,64.11504655367146,MEDIUM
2022-05-24,392.56,395.15,386.96,375.8834,91448800,-27.190207499999985,-3.113691097696961,27.200794679229325,Quadrante 1 (Minimo -> Salita),BUY,1,13.157830169432303,LOW
2022-05-25,392.31,399.45,391.89,379.2043,91472900,-25.21817500000003,-2.9865275329060426,25.524430508849743,Quadrante 1 (Minimo -> Salita),HOLD,1,1.5031999750142597,LOW
2022-05-26,398.67,407.04,398.45,386.7814,82168300,-22.706735000000037,-2.90051788624521,23.382923820381034,Quadrante 1 (Minimo -> Salita),HOLD,1,1.2828154351936523,LOW
2022-05-27,407.91,415.38,407.7,396.2765,84768700,-20.546712500000012,-2.8094901158068843,21.734297551058532,Quadrante 1 (Minimo -> Salita),HOLD,1,10.393989248842546,LOW
2022-05-31,413.55,416.46,410.03,394.053,95937000,-18.367365000000007,-2.7478252506273253,19.889505332081153,Quadrante 1 (Minimo -> Salita),HOLD,1,45.364802331631545,MEDIUM
2022-06-01,415.17,416.24,406.93,390.8657,86585800,-17.119880000000023,-2.6559570327391944,19.35809292892976,Quadrante 1 (Minimo -> Salita),HOLD,1,44.351751217306614,MEDIUM
2022-06-02,409.42,417.44,407.04,398.3091,79609600,-13.88103499999994,-2.4971906937979496,17.36303192222915,Quadrante 1 (Minimo -> Salita),HOLD,1,39.40116684771947,MEDIUM
2022-06-03,412.4,414.04,409.51,391.7723,71874300,-11.01101749999998,-2.395678884822099,14.99182566023023,Quadrante 1 (Minimo -> Salita),HOLD,1,33.735921194743085,MEDIUM
2022-06-06,414.78,416.61,410.55,392.9651,57508900,-8.014089999999953,-2.2610183658191954,12.586750596229265,Quadrante 1 (Minimo -> Salita),HOLD,1,28.011871194431084,LOW
2022-06-07,408.1,416.22,407.61,396.7345,59272400,-5.45875749999999,-2.165834385503121,9.738385927325501,Quadrante 1 (Minimo -> Salita),HOLD,1,21.54000167873334,LOW
2022-06-08,413.93,415.82,410.38,392.4212,64350000,-3.120277500000043,-2.0513467146504683,6.749942125580244,Quadrante 1 (Minimo -> Salita),HOLD,1,14.797338431926846,LOW
2022-06-09,409.34,411.74,401.44,383.0883,86289800,-1.8527424999999766,-2.1898101867144857,3.193104837363564,Quadrante 1 (Minimo -> Salita),HOLD,1,6.7524181977695354,LOW
